factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor2,Negative,GO_Biological_Process,GO:0044770,cell cycle phase transition,24/97,40/828,4.03331302709033e-14,3.92239691884535e-12,24,CDC20/UBE2C/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/CCNB2/CDK1/MELK/FOXM1/TTK/CDT1/CCNE1/CDC25C/SKA3/CDKN3/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0010564,regulation of cell cycle process,26/97,47/828,4.30347566698953e-14,3.93894596343277e-12,26,SPHK1/CDC20/UBE2C/KIF2C/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/KIF20A/BIRC5/DLGAP5/CENPF/KIF23/AURKB/NUF2/MKI67/CDK1/NCAPG/LIF/TTK/CDT1/CCNE1/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007051,spindle organization,15/97,17/828,4.34796421989814e-13,3.75857351453417e-11,15,MYBL2/CDC20/SKA1/PLK1/BIRC5/KIF4A/DLGAP5/KIF23/AURKB/NUF2/CCNB2/KIFC1/TTK/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051304,chromosome separation,14/97,15/828,5.19115759268292e-13,4.03872060710731e-11,14,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/NCAPG/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:1905818,regulation of chromosome separation,14/97,15/828,5.19115759268292e-13,4.03872060710731e-11,14,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/NCAPG/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051726,regulation of cell cycle,29/97,63/828,5.88125245036411e-13,4.35772800607931e-11,29,SPHK1/CDC20/UBE2C/KIF2C/TRNP1/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/KIF20A/BIRC5/DLGAP5/CENPF/KIF23/AURKB/NUF2/MKI67/CDK1/NCAPG/FOXM1/LIF/TTK/CDT1/CCNE1/CDC25C/SKA3/CDKN3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051783,regulation of nuclear division,17/97,22/828,6.33136311862457e-13,4.47800046026356e-11,17,SPHK1/CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/MKI67/LIF/TTK/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007088,regulation of mitotic nuclear division,16/97,20/828,1.28408208581596e-12,8.68709445882448e-11,16,SPHK1/CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/MKI67/TTK/CDC25C/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0033045,regulation of sister chromatid segregation,14/97,16/828,3.75743409096343e-12,2.43606976897462e-10,14,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/CDK1/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0010965,regulation of mitotic sister chromatid separation,13/97,14/828,4.6980884635034e-12,2.81162524969665e-10,13,CDC20/UBE2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/TTK/SKA3,Robust Supported
