factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor15,Positive,GO_Biological_Process,GO:0002684,positive regulation of immune system process,27/93,88/828,9.60264565274449e-08,1.03888622655629e-05,27,CD3D/TRBC1/PYCARD/TRBC2/LY96/CD6/HLA-DQB1/CD2/TRAC/CD3E/CD38/S100A9/IGLC3/TLR2/IGHA1/IGKC/LIF/IGHG2/ESR1/IGHM/IGHA2/IGHG3/AURKB/CD1D/SERPINE1/IGHG1/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0042110,T cell activation,17/93,39/828,1.16740433902693e-07,1.1886923005033e-05,17,CD3D/TRBC1/PYCARD/TRBC2/CD6/HLA-DQB1/CD2/TRAC/BATF/SOCS3/CD3E/EGR1/CD44/DTX1/FGL1/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0001775,cell activation,24/93,76/828,3.33327182555769e-07,3.20549640557798e-05,24,F2RL3/CD3D/TRBC1/PYCARD/TRBC2/CD6/HLA-DQB1/CD2/TRAC/BATF/SOCS3/CD3E/CD38/TLR2/SPHK1/EGR1/CD44/DTX1/MAPT/IGHM/FGL1/CDKN2A/CD1D/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:1903131,mononuclear cell differentiation,14/93,33/828,2.70356143647504e-06,0.000246308676133595,14,CD3D/CD2/APCS/BATF/SOCS3/CD3E/MMP9/TLR2/EGR1/DTX1/LIF/IGHM/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002449,lymphocyte mediated immunity,12/93,25/828,3.09179295680473e-06,0.00026759468041145,12,CD2/BATF/IGLC3/IGHA1/IGKC/IGLC2/IGHG2/IGHM/IGHA2/IGHG3/CD1D/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002443,leukocyte mediated immunity,13/93,30/828,4.83578820998358e-06,0.000398607113880075,13,CD2/BATF/IGLC3/IGHA1/IGKC/IGLC2/IGHG2/IGHM/IGHA2/IGHG3/CD1D/IGHG1/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0016064,immunoglobulin mediated immune response,10/93,19/828,7.8971080522224e-06,0.000594343219060738,10,BATF/IGLC3/IGHA1/IGKC/IGLC2/IGHG2/IGHM/IGHA2/IGHG3/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0019724,B cell mediated immunity,10/93,19/828,7.8971080522224e-06,0.000594343219060738,10,BATF/IGLC3/IGHA1/IGKC/IGLC2/IGHG2/IGHM/IGHA2/IGHG3/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,12/93,27/828,8.51727759815714e-06,0.000614308646767084,12,BATF/SOCS3/IGLC3/IGHA1/IGKC/IGLC2/IGHG2/IGHM/IGHA2/IGHG3/CD1D/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0045058,T cell selection,5/93,5/828,1.62198797597119e-05,0.00112306447456245,5,CD3D/BATF/SOCS3/CD3E/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0098542,defense response to other organism,22/93,82/828,2.5130025219133e-05,0.00167307975593536,22,PYCARD/LY96/CD6/CD2/APCS/BATF/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/HP/IGHG2/ESR1/IGHM/IGHA2/IGHG3/AURKB/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002521,leukocyte differentiation,14/93,39/828,2.79460192483776e-05,0.00179165034514599,14,CD3D/CD2/APCS/BATF/SOCS3/CD3E/MMP9/TLR2/EGR1/DTX1/LIF/IGHM/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0043207,response to external biotic stimulus,27/93,114/828,3.05461361905668e-05,0.00188840577663825,27,PYCARD/LY96/CD6/CD2/APCS/TRAC/BATF/MMP9/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/CDA/HP/IGHG2/HMCN1/ESR1/IGHM/IGHA2/IGHG3/E2F1/AURKB/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0009607,response to biotic stimulus,27/93,115/828,3.64333046019561e-05,0.00217469138848228,27,PYCARD/LY96/CD6/CD2/APCS/TRAC/BATF/MMP9/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/CDA/HP/IGHG2/HMCN1/ESR1/IGHM/IGHA2/IGHG3/E2F1/AURKB/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0046631,alpha-beta T cell activation,7/93,11/828,4.12513926764643e-05,0.00238020535743199,7,CD3D/TRBC1/TRBC2/TRAC/BATF/SOCS3/CD3E,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0007165,signal transduction,55/93,328/828,4.28996062756661e-05,0.00239545866010252,55,F2RL3/CD3D/TRBC1/PYCARD/TRBC2/LY96/TIMP1/RAB34/CD6/HLA-DQB1/CD2/TRAC/BATF/SOCS3/CD3E/INSIG1/CD38/MMP9/S100A9/IGLC3/RASD1/CDC6/TLR2/SPHK1/IGHA1/EGR1/CXCL9/IGKC/CD44/ADGRD1/GNAL/DTX1/LIF/APOC3/CDA/IGHG2/MAPT/OSGIN1/ESR1/IGHM/IGHA2/IGHG3/ARFGEF3/MYOM1/E2F1/NRXN2/AURKB/CDKN2A/SMOC2/SERPINE1/CCNE1/IGHG1/CTHRC1/SFN/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0009617,response to bacterium,20/93,73/828,4.58936101248115e-05,0.00248255747268902,20,PYCARD/LY96/CD6/TRAC/MMP9/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/HP/IGHG2/HMCN1/IGHM/IGHA2/IGHG3/E2F1/CD1D/SERPINE1/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002252,immune effector process,16/93,51/828,4.91266451441916e-05,0.00257691584074533,16,PYCARD/CD2/BATF/SOCS3/S100A9/IGLC3/IGHA1/IGKC/IGLC2/IGHG2/IGHM/IGHA2/IGHG3/CD1D/IGHG1/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0006952,defense response,28/93,125/828,6.46292713642926e-05,0.00329039025681149,28,PYCARD/LY96/TIMP1/CD6/CD2/APCS/BATF/SOCS3/MMP9/S100A9/TLR2/SPHK1/IGHA1/CXCL9/CD44/JCHAIN/HP/IGHG2/MAPT/ESR1/IGHM/IGHA2/IGHG3/AURKB/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0030217,T cell differentiation,9/93,19/828,6.98970915675576e-05,0.00345691044295549,9,CD3D/CD2/BATF/SOCS3/CD3E/EGR1/DTX1/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0051707,response to other organism,26/93,113/828,7.89753801843358e-05,0.00379739953053015,26,PYCARD/LY96/CD6/CD2/APCS/TRAC/BATF/MMP9/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/HP/IGHG2/HMCN1/ESR1/IGHM/IGHA2/IGHG3/E2F1/AURKB/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0048583,regulation of response to stimulus,45/93,252/828,8.67387174221684e-05,0.00405796540156144,45,CD3D/TRBC1/PYCARD/TRBC2/LY96/TIMP1/RAB34/HLA-DQB1/APCS/TRAC/BATF/SOCS3/CD3E/INSIG1/CD38/MMP9/S100A9/IGLC3/TLR2/SPHK1/IGHA1/EGR1/IGKC/MLIP/CD44/DTX1/LIF/APOC3/IGHG2/MAPT/ESR1/IGHM/FGL1/IGHA2/IGHG3/ARFGEF3/AURKB/CDKN2A/SMOC2/CD1D/SERPINE1/IGHG1/CTHRC1/SFN/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0030098,lymphocyte differentiation,10/93,24/828,0.000103238363753179,0.00470277914886194,10,CD3D/CD2/BATF/SOCS3/CD3E/EGR1/DTX1/IGHM/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0050852,T cell receptor signaling pathway,6/93,9/828,0.000109556816021878,0.00486263714189411,6,CD3D/TRBC1/TRBC2/HLA-DQB1/TRAC/CD3E,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0052548,regulation of endopeptidase activity,9/93,20/828,0.00011535724354391,0.00499208471436271,9,PYCARD/TIMP1/MMP9/S100A9/EGLN3/CD44/MAPT/CDKN2A/SERPINE1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0042742,defense response to bacterium,12/93,34/828,0.000136339038852695,0.00575616771351255,12,PYCARD/S100A9/TLR2/IGHA1/JCHAIN/HP/IGHG2/IGHM/IGHA2/IGHG3/SERPINE1/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,7/93,13/828,0.00017708321809442,0.0072466355514978,7,PYCARD/MMP9/S100A9/EGLN3/CD44/MAPT/CDKN2A,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0001819,positive regulation of cytokine production,11/93,30/828,0.000180014632417334,0.0072466355514978,11,PYCARD/LY96/CD6/CD2/BATF/CD3E/TLR2/SPHK1/EGR1/SERPINE1/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0048584,positive regulation of response to stimulus,31/93,153/828,0.000189724648745131,0.00746394015858685,31,CD3D/TRBC1/PYCARD/TRBC2/LY96/RAB34/HLA-DQB1/TRAC/CD3E/CD38/MMP9/S100A9/IGLC3/TLR2/SPHK1/IGHA1/IGKC/CD44/LIF/IGHG2/ESR1/IGHM/IGHA2/IGHG3/AURKB/CDKN2A/SMOC2/CD1D/SERPINE1/IGHG1/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0071216,cellular response to biotic stimulus,8/93,17/828,0.00019600851314519,0.00753979413898497,8,PYCARD/LY96/CD6/MMP9/TLR2/CXCL9/CDA/SERPINE1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0023052,signaling,57/93,361/828,0.000209833132790894,0.0078961120187182,57,F2RL3/CD3D/TRBC1/PYCARD/TRBC2/LY96/TIMP1/RAB34/CD6/HLA-DQB1/CD2/TRAC/BATF/SOCS3/CD3E/INSIG1/CD38/MMP9/SYT7/S100A9/IGLC3/RASD1/CDC6/TLR2/SPHK1/IGHA1/EGR1/CXCL9/IGKC/CD44/ADGRD1/GNAL/DTX1/LIF/APOC3/CDA/IGHG2/MAPT/OSGIN1/ESR1/IGHM/IGHA2/IGHG3/SELENOM/ARFGEF3/MYOM1/E2F1/NRXN2/AURKB/CDKN2A/SMOC2/SERPINE1/CCNE1/IGHG1/CTHRC1/SFN/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0007154,cell communication,57/93,362/828,0.000230747061430405,0.00837810935489627,57,F2RL3/CD3D/TRBC1/PYCARD/TRBC2/LY96/TIMP1/RAB34/CD6/HLA-DQB1/CD2/TRAC/BATF/SOCS3/CD3E/INSIG1/CD38/MMP9/SYT7/S100A9/IGLC3/RASD1/CDC6/TLR2/SPHK1/IGHA1/EGR1/CXCL9/IGKC/CD44/ADGRD1/GNAL/DTX1/LIF/APOC3/CDA/IGHG2/MAPT/OSGIN1/ESR1/IGHM/IGHA2/IGHG3/SELENOM/ARFGEF3/MYOM1/E2F1/NRXN2/AURKB/CDKN2A/SMOC2/SERPINE1/CCNE1/IGHG1/CTHRC1/SFN/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0006950,response to stress,44/93,253/828,0.000232321923186032,0.00837810935489627,44,F2RL3/PYCARD/LY96/TIMP1/CD6/CD2/APCS/BATF/SOCS3/CHAF1B/INSIG1/CD38/MMP9/SYT7/S100A9/TLR2/EGLN3/SPHK1/IGHA1/EGR1/CXCL9/MLIP/CD44/LIF/SCARA3/JCHAIN/HP/IGHG2/MAPT/ESR1/IGHM/FGL1/IGHA2/IGHG3/E2F1/UBXN10/AURKB/CDKN2A/SMOC2/CD1D/SLC39A4/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0044419,biological process involved in interspecies interaction between organisms,26/93,120/828,0.00023997586248742,0.0084775146523617,26,PYCARD/LY96/CD6/CD2/APCS/TRAC/BATF/MMP9/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/HP/IGHG2/HMCN1/ESR1/IGHM/IGHA2/IGHG3/E2F1/AURKB/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002694,regulation of leukocyte activation,13/93,41/828,0.000245438949649583,0.00849709643686858,13,PYCARD/CD6/HLA-DQB1/CD2/BATF/CD3E/CD38/SPHK1/DTX1/FGL1/CDKN2A/CD1D/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0007166,cell surface receptor signaling pathway,37/93,200/828,0.00027363166032998,0.00928738047119992,37,CD3D/TRBC1/PYCARD/TRBC2/LY96/TIMP1/RAB34/CD6/HLA-DQB1/CD2/TRAC/SOCS3/CD3E/CD38/MMP9/IGLC3/TLR2/SPHK1/IGHA1/EGR1/CXCL9/IGKC/CD44/ADGRD1/DTX1/LIF/CDA/IGHG2/IGHM/IGHA2/IGHG3/SMOC2/SERPINE1/CCNE1/IGHG1/CTHRC1/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0140546,defense response to symbiont,19/93,76/828,0.000291152903508517,0.00969203223025467,19,PYCARD/LY96/CD6/CD2/APCS/S100A9/TLR2/IGHA1/CXCL9/JCHAIN/IGHG2/ESR1/IGHM/IGHA2/IGHG3/AURKB/CD1D/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0019731,antibacterial humoral response,7/93,14/828,0.000321826150545797,0.0103163160480514,7,IGHA1/JCHAIN/IGHG2/IGHM/IGHA2/IGHG3/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:2000116,regulation of cysteine-type endopeptidase activity,7/93,14/828,0.000321826150545797,0.0103163160480514,7,PYCARD/MMP9/S100A9/EGLN3/CD44/MAPT/CDKN2A,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0030097,hemopoiesis,14/93,49/828,0.000475551957477293,0.014732283300525,14,CD3D/CD2/APCS/BATF/SOCS3/CD3E/MMP9/TLR2/EGR1/DTX1/LIF/IGHM/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0051249,regulation of lymphocyte activation,11/93,33/828,0.000476607663101906,0.014732283300525,11,PYCARD/CD6/HLA-DQB1/CD2/BATF/CD3E/CD38/DTX1/FGL1/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0080134,regulation of response to stress,19/93,79/828,0.000504870808642629,0.0153321292940419,19,PYCARD/LY96/APCS/SOCS3/INSIG1/MMP9/S100A9/TLR2/SPHK1/MLIP/CD44/MAPT/ESR1/AURKB/CDKN2A/SMOC2/CD1D/SERPINE1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0050863,regulation of T cell activation,10/93,29/828,0.000649161939864437,0.0191767436262594,10,PYCARD/CD6/HLA-DQB1/CD2/BATF/CD3E/DTX1/FGL1/CDKN2A/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0002224,toll-like receptor signaling pathway,4/93,5/828,0.000685973341747816,0.0191767436262594,4,LY96/S100A9/TLR2/ESR1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0060263,regulation of respiratory burst,4/93,5/828,0.000685973341747816,0.0191767436262594,4,S100A9/IGHA1/JCHAIN/IGHA2,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,5/93,8/828,0.00068686199007977,0.0191767436262594,5,PYCARD/S100A9/EGLN3/MAPT/CDKN2A,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,5/93,8/828,0.00068686199007977,0.0191767436262594,5,PYCARD/S100A9/EGLN3/MAPT/CDKN2A,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0071219,cellular response to molecule of bacterial origin,7/93,16/828,0.000885990160425244,0.0239632651202515,7,PYCARD/LY96/CD6/MMP9/TLR2/CXCL9/SERPINE1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0071222,cellular response to lipopolysaccharide,7/93,16/828,0.000885990160425244,0.0239632651202515,7,PYCARD/LY96/CD6/MMP9/TLR2/CXCL9/SERPINE1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0043086,negative regulation of catalytic activity,12/93,41/828,0.000995172083559269,0.0265021981021707,12,PYCARD/TIMP1/APCS/MMP9/CD44/APOC3/HP/MAPT/CDKN2A/PKIB/SERPINE1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0050865,regulation of cell activation,13/93,47/828,0.0010944241361163,0.0285635769858083,13,PYCARD/CD6/HLA-DQB1/CD2/BATF/CD3E/CD38/SPHK1/DTX1/FGL1/CDKN2A/CD1D/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0007159,leukocyte cell-cell adhesion,11/93,36/828,0.00110558039170951,0.0285635769858083,11,PYCARD/CD6/HLA-DQB1/CD3E/S100A9/CD44/DTX1/FGL1/CDKN2A/CD1D/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0031347,regulation of defense response,13/93,48/828,0.00136191620309838,0.0343394672562795,13,PYCARD/LY96/APCS/SOCS3/MMP9/S100A9/TLR2/SPHK1/ESR1/AURKB/CD1D/SERPINE1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0010950,positive regulation of endopeptidase activity,5/93,9/828,0.00140849345765214,0.0343394672562795,5,PYCARD/S100A9/EGLN3/MAPT/CDKN2A,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0016050,vesicle organization,5/93,9/828,0.00140849345765214,0.0343394672562795,5,F2RL3/RAB34/INSIG1/SYT7/SPHK1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:2001056,positive regulation of cysteine-type endopeptidase activity,5/93,9/828,0.00140849345765214,0.0343394672562795,5,PYCARD/S100A9/EGLN3/MAPT/CDKN2A,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0006958,"complement activation, classical pathway",6/93,13/828,0.00153300838990905,0.0368560767073967,6,IGHA1/IGHG2/IGHM/IGHA2/IGHG3/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0006954,inflammatory response,17/93,73/828,0.00156556713435692,0.0371232425968745,17,PYCARD/LY96/TIMP1/CD6/APCS/SOCS3/MMP9/S100A9/TLR2/SPHK1/CXCL9/CD44/HP/MAPT/ESR1/SERPINE1/IGHG1,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0045088,regulation of innate immune response,8/93,22/828,0.00159297713533799,0.0372627489360819,8,PYCARD/LY96/S100A9/TLR2/ESR1/AURKB/CD1D/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0009605,response to external stimulus,31/93,171/828,0.00165483019486829,0.0381934808975602,31,PYCARD/LY96/CD6/CD2/APCS/TRAC/BATF/SOCS3/MMP9/S100A9/TLR2/SPHK1/IGHA1/CXCL9/JCHAIN/CDA/HP/IGHG2/HMCN1/ESR1/IGHM/IGHA2/IGHG3/E2F1/NRXN2/AURKB/SMOC2/CD1D/SERPINE1/IGHG1/SFN,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0045730,respiratory burst,4/93,6/828,0.0018806247174447,0.0428337024460103,4,S100A9/IGHA1/JCHAIN/IGHA2,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0048518,positive regulation of biological process,55/93,369/828,0.00197031702138435,0.0442937501820301,55,F2RL3/CD3D/TRBC1/PYCARD/TRBC2/LY96/TIMP1/RAB34/CD6/HLA-DQB1/CD2/TRAC/BATF/SOCS3/CD3E/CD38/MMP9/SYT7/S100A9/IGLC3/CDC6/DCXR/TLR2/EGLN3/SPHK1/IGHA1/EGR1/CXCL9/IGKC/MLIP/CD44/DTX1/LIF/JCHAIN/IGHG2/MAPT/ESR1/IGHM/IGHA2/TTPA/IGHG3/MYOM1/E2F1/PHLDA2/AURKB/CDKN2A/PKIB/SMOC2/CD1D/SERPINE1/CCNE1/IGHG1/CTHRC1/SFN/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:1903037,regulation of leukocyte cell-cell adhesion,10/93,33/828,0.00203535523725557,0.044617261972483,10,PYCARD/CD6/HLA-DQB1/CD3E/CD44/DTX1/FGL1/CDKN2A/CD1D/NR4A3,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0045089,positive regulation of innate immune response,7/93,18/828,0.00203625863421499,0.044617261972483,7,PYCARD/LY96/S100A9/TLR2/ESR1/AURKB/CD1D,Robust Supported
Factor15,Positive,GO_Biological_Process,GO:0072331,signal transduction by p53 class mediator,6/93,14/828,0.00244139506943149,0.052299625861175,6,PYCARD/BATF/CD44/E2F1/AURKB/CDKN2A,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0009892,negative regulation of metabolic process,27/93,145/828,0.00244729618414511,0.052299625861175,27,ETV7/PYCARD/TIMP1/APCS/CD3E/INSIG1/CD38/MMP9/RASD1/CDC6/SPHK1/EGR1/MLIP/CD44/APOC3/CDA/HP/MAPT/ESR1/E2F1/AURKB/CDKN2A/PKIB/SERPINE1/CCNE1/SFN/NR4A3,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0044092,negative regulation of molecular function,14/93,57/828,0.00249200492913363,0.0526056162479307,14,PYCARD/TIMP1/APCS/MMP9/CD44/APOC3/HP/MAPT/ESR1/E2F1/CDKN2A/PKIB/SERPINE1/SFN,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0033673,negative regulation of kinase activity,5/93,10/828,0.00256786181544422,0.0529162952682613,5,PYCARD/MAPT/CDKN2A/PKIB/SFN,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0051348,negative regulation of transferase activity,5/93,10/828,0.00256786181544422,0.0529162952682613,5,PYCARD/MAPT/CDKN2A/PKIB/SFN,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0031324,negative regulation of cellular metabolic process,23/93,118/828,0.00299968381387998,0.0608492060737074,23,ETV7/PYCARD/TIMP1/CD3E/INSIG1/CD38/RASD1/SPHK1/EGR1/MLIP/APOC3/CDA/HP/MAPT/ESR1/E2F1/AURKB/CDKN2A/PKIB/SERPINE1/CCNE1/SFN/NR4A3,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0002831,regulation of response to biotic stimulus,8/93,24/828,0.00302312635605941,0.0608492060737074,8,PYCARD/LY96/S100A9/TLR2/ESR1/AURKB/CD1D/SFN,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0045087,innate immune response,13/93,53/828,0.00365217886732872,0.0688002395988578,13,PYCARD/LY96/CD6/CD2/APCS/S100A9/TLR2/JCHAIN/ESR1/IGHM/AURKB/CD1D/SFN,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0002218,activation of innate immune response,6/93,15/828,0.00370341522015213,0.0688002395988578,6,PYCARD/LY96/S100A9/TLR2/ESR1/AURKB,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0002221,pattern recognition receptor signaling pathway,6/93,15/828,0.00370341522015213,0.0688002395988578,6,PYCARD/LY96/S100A9/TLR2/ESR1/AURKB,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0002455,humoral immune response mediated by circulating immunoglobulin,6/93,15/828,0.00370341522015213,0.0688002395988578,6,IGHA1/IGHG2/IGHM/IGHA2/IGHG3/IGHG1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0002758,innate immune response-activating signaling pathway,6/93,15/828,0.00370341522015213,0.0688002395988578,6,PYCARD/LY96/S100A9/TLR2/ESR1/AURKB,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0050670,regulation of lymphocyte proliferation,6/93,15/828,0.00370341522015213,0.0688002395988578,6,PYCARD/CD6/CD3E/CD38/CDKN2A/CD1D,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0008284,positive regulation of cell population proliferation,16/93,72/828,0.00370515339220889,0.0688002395988578,16,PYCARD/TIMP1/CD6/CD3E/CD38/MMP9/CDC6/SPHK1/EGR1/LIF/ESR1/E2F1/CD1D/CCNE1/CTHRC1/NR4A3,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0019730,antimicrobial humoral response,9/93,30/828,0.00373611930808355,0.0688002395988578,9,S100A9/IGHA1/CXCL9/JCHAIN/IGHG2/IGHM/IGHA2/IGHG3/IGHG1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0051092,positive regulation of NF-kappaB transcription factor activity,4/93,7/828,0.00401123167215471,0.0721351177439743,4,PYCARD/S100A9/TLR2/SPHK1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:2000045,regulation of G1/S transition of mitotic cell cycle,4/93,7/828,0.00401123167215471,0.0721351177439743,4,CDC6/E2F1/CDKN2A/CCNE1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0002274,myeloid leukocyte activation,7/93,20/828,0.00409947737250544,0.0721351177439743,7,PYCARD/CD2/BATF/TLR2/SPHK1/MAPT/NR4A3,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0010952,positive regulation of peptidase activity,5/93,11/828,0.00429226870458079,0.0721351177439743,5,PYCARD/S100A9/EGLN3/MAPT/CDKN2A,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0032946,positive regulation of mononuclear cell proliferation,5/93,11/828,0.00429226870458079,0.0721351177439743,5,PYCARD/CD6/CD3E/CD38/CD1D,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0048145,regulation of fibroblast proliferation,5/93,11/828,0.00429226870458079,0.0721351177439743,5,CDC6/SPHK1/LIF/ESR1/E2F1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0048146,positive regulation of fibroblast proliferation,5/93,11/828,0.00429226870458079,0.0721351177439743,5,CDC6/SPHK1/LIF/ESR1/E2F1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0050671,positive regulation of lymphocyte proliferation,5/93,11/828,0.00429226870458079,0.0721351177439743,5,PYCARD/CD6/CD3E/CD38/CD1D,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0070665,positive regulation of leukocyte proliferation,5/93,11/828,0.00429226870458079,0.0721351177439743,5,PYCARD/CD6/CD3E/CD38/CD1D,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0098609,cell-cell adhesion,17/93,80/828,0.00456086787420932,0.0759121374063109,17,F2RL3/PYCARD/CD6/HLA-DQB1/CD2/CD3E/S100A9/CD44/DTX1/HMCN1/FGL1/HMCN2/NRXN2/CDKN2A/CD1D/SFN/NR4A3,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0010628,positive regulation of gene expression,15/93,67/828,0.00463919404220068,0.0764804274957083,15,PYCARD/LY96/CD6/CD2/BATF/CD3E/TLR2/SPHK1/EGR1/LIF/MYOM1/E2F1/CDKN2A/SERPINE1/NR4A3,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0050727,regulation of inflammatory response,9/93,31/828,0.00478017363420275,0.0780611373660846,9,PYCARD/APCS/SOCS3/MMP9/S100A9/TLR2/SPHK1/ESR1/SERPINE1,Exploratory
Factor15,Positive,GO_Biological_Process,GO:0010563,negative regulation of phosphorus metabolic process,6/93,16/828,0.00539387025598826,0.084879903755597,6,PYCARD/CDA/MAPT/CDKN2A/PKIB/SFN,Exploratory
